timestamp,price_20g_eur,price_50g_eur,price_100g_eur
2026-08-14T22:42:48.229399+00:00,2456.0,6100.3,12200.59
2026-08-14T23:28:19.234535+00:00,2456.0,6100.3,12200.59
2026-08-15T01:41:29.074063+00:00,2456.0,6100.3,12200.59
2026-08-15T02:58:24.500553+00:00,2456.0,6100.3,12200.59
2026-08-15T03:48:55.116312+00:00,2456.0,6100.3,12200.59
2026-08-15T04:38:23.472058+00:00,2456.0,6100.3,12200.59
2026-08-15T05:31:23.149086+00:00,2456.0,6100.3,12200.59
2026-08-15T06:50:04.631054+00:00,2456.0,6100.3,12200.59
2026-08-15T07:36:14.243347+00:00,2456.0,6100.3,12200.59
2026-08-15T08:37:44.606356+00:00,2456.0,6100.3,12200.59
2026-08-15T09:32:01.297143+00:00,2456.0,6100.3,12200.59
2026-08-15T10:29:48.485442+00:00,2456.0,6100.3,12202.93
2026-08-15T11:26:34.957623+00:00,2461.96,6100.3,12202.93
2026-08-15T12:51:45.554747+00:00,2461.96,6105.47,12223.0
2026-08-15T13:36:18.080819+00:00,2461.96,6105.47,12223.0
